id,name_zh,name_en,lat,lon,open_date,close_date,open_dates_raw,close_dates_raw
Q11065437,临安站,Lin'an Railway Station,23.624969,102.829922,,,,
Q11065445,建河站,Jianhe Railway Station,34.523888888,106.345833333,,,,
Q11065458,建湖站,Jianhu Railway Station,33.507052,119.792038,,,,
Q11146339,洞庙河站,Dongmiaohe Railway Station,40.57047,117.68872,,,,
Q11146934,洪掌站,Hongzhang Railway Station,36.329887,113.338695,,,,
Q11147088,洪沟站,Honggou Railway Station,36.133713814,117.116346813,,,,
Q11147381,洮南站,Taonan Railway Station,45.338349,122.803689,,,,
Q11147503,丹水池站,Danshuichi Railway Station,30.657,114.339,,,,
Q11147729,流坪站,Liuping Railway Station,26.460314609,109.67036828,,,,
Q11147779,流水沟站,Liushuigou Railway Station,40.70486111,117.13791667,,,,
Q11148161,大明湖站,Daminghu Railway Station,36.680961111,117.023566666,1992-01-01,,1992-07-01,
Q11148165,济南南站,Jinannan Railway Station,36.627376,116.939256,,,,
Q11148270,济源站,Jiyuan Railway Station,35.110833333,112.568055555,,,,
Q11148284,济西站,Jixi Railway Station,36.666304,116.856044,1983-01-01,,1983-07-01,
Q11148363,浑河站,Hunhe Railway Station,41.725971,123.375321,1904-01-01,,1904-01-01,
Q11148384,浒墅关站,Xushuguan Railway Station,31.384021,120.508639,,,,
Q11148945,浠水站,Xishui Railway Station,30.43541718,115.23638916,,,,
Q11149024,浦后站,Puhou Railway Station,26.3174,118.780966,,,,
Q11149442,浮洲車站,Fuzhou railway station,25.0042,121.445,2011-01-01,,2011-09-02,
Q11149457,浮石站,Fushi Railway Station,25.127676973,109.366693432,,,,
Q11150375,海口南站,Haikounan Railway Station,19.959759267,110.15795676,,,,
Q11150372,海口东站,Haikou East railway station,19.98571,110.33863,2010-01-01,,2010-12-30,
Q11150388,海口站,Haikou railway station,20.029444,110.1575,2005-01-01,,2005-01-01,
Q11150450,海城站,Haicheng Railway Station,40.861596,122.73731,2017-01-01,,2017-08-01,
Q11150553,海宁站,Haining Railway Station,30.536066,120.681317,,,,
Q11150562,海安站,Hai'an Railway Station,32.549355,120.4993,2003-01-01,,2003-01-01,
Q11150713,海州站,Haizhou Railway Station,34.552647222,119.095825,,,,
Q11150796,海拉尔东站,Hailar East Railway Station,49.254098,119.8211,,,,
Q17061940,袁家堡站,Yuanjiabao Station,40.4945,123.9388,,,,
Q17061969,闽侯站,Minhou Railway Station,26.15611111,119.125,,,,
Q17061990,袁寨站,Yuanzhai Railway Station,32.871653205,115.942085661,,,,
Q17062014,马街站,Majie Railway Station,22.6599,103.8921,,,,
Q17062045,阳新站,Yangxin Railway Station,29.83777778,115.20277778,1989-01-01,,1989-01-01,
Q17062051,阳明堡站,Yangmingbao Railway Station,39.004166666,112.872777777,1937-01-01,,1937-01-01,
Q17062060,阳春站,Yangchun Railway Station,22.19287,111.75636,,,,
Q17062071,袁树林站,Yuanshulin Railway Station,39.38381687,112.672441278,,,,
Q17062108,高家站,Gaojia Station,46.81469,124.555007,1949-01-01,,1949-01-01,
Q17062122,阿尔山站,Arxan Railway Station,47.170268,119.94133,,,,
Q17062230,甘旗卡站,Ganjig Railway Station,42.956434,122.350762,,,,
Q17062236,高要站,Gaoyao Railway Station,23.016252,112.436469,,,,
Q17062304,裕溪口站,Yuxikou Railway Station,31.446062,118.274859,,,,
Q17062361,甘泉站,Ganquan Railway Station,36.258019444,109.347736111,,,,
Q17062434,黄岛站,Huangdao Railway Station,36.04697,120.16755,,,,
